id_site;nom_site;type_site;typologie;lib_influence;id_polair;adresse;altitude;coord_x_l93;coord_y_l93;date_ouverture;date_dispo_mesures;date_fermeture;description_site;photo;nouv_typologie
76;Nord lyonnais / Côtière de l'Ain;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;20047;Passage de Paravis  1700 MIRIBEL;180;851693;6526726;29/07/2005;29/07/2005;;;http://carto.air-rhonealpes.fr/photos/photo_76.jpg;Périurbain-Fond
77;Est lyonnais / Saint Exupéry;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;20048;Complexe Sportif  Louis Durand Rue de l'Egalité 69330 PUSIGNAN;221;860928;6519362;14/12/2001;14/12/2001;;;http://carto.air-rhonealpes.fr/photos/photo_77.jpg;Périurbain-Fond
78;Haut-Beaujolais;FIXE;rurale régionale;fond                                                                                                                                                                                                                                                           ;20049;Le Bourg Derrière l'église 69170 DIEME;540;813509;6541249;01/06/1996;01/06/1996;;;http://carto.air-rhonealpes.fr/photos/photo_78.jpg;Rural-Fond
79;Sud lyonnais / Vénissieux;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;20060;Groupe Scolaire du Centre 43 Boulevard Laurent Gérin 69200 VENISSIEUX;195;846551;6513344;09/04/2004;09/04/2004;;;http://carto.air-rhonealpes.fr/photos/photo_79.jpg;Périurbain-Industrielle
80;Villefranche Village;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;20061;330 - rue des Jardiniers  69400 VILLEFRANCHE-SUR-SAONE;190;833111;6544393;01/02/2006;01/02/2006;19/12/2017;;http://carto.air-rhonealpes.fr/photos/photo_80.jpg;Urbain-Fond
81;Lyon Centre;FIXE+ETUDE;urbaine;fond                                                                                                                                                                                                                                                           ;20062;20 rue du Lac  69003 LYON;160;844083;6519290;29/01/2007;29/01/2007;;;http://carto.air-rhonealpes.fr/photos/photo_81.jpg;Urbain-Fond
82;Lyon Periphérique Est;FIXE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;20063;Boulevard périphérique Laurent Bonnevay  69500 BRON;163;847459;6516075;01/06/2007;01/06/2007;07/01/2015;;http://carto.air-rhonealpes.fr/photos/photo_82.jpg;Urbain-Trafic
83;Vernaison ZI;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;20064;Parking du Port Perret  69390 VERNAISON;165;841496;6507302;23/03/2009;23/03/2009;;;http://carto.air-rhonealpes.fr/photos/photo_83.jpg;Périurbain-Industrielle
84;Lyon - Tunnel Croix-Rousse - Sortie Rhône;FIXE+ETUDE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;20065;Ecole Michel Servet 4 rue Alsace Lorraine 69001 LYON;188;842741;6520868;18/09/2009;18/09/2009;;Dans cours d'école au dessus de l'entrée/sortie du tunnel  de fourvière;http://carto.air-rhonealpes.fr/photos/photo_84.jpg;Urbain-Trafic
85;Lyon Mermoz labo;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;20066;Maison du Rhône 1 Place Latarjet 69008 LYON;175;846630;6516154;07/05/2008;07/05/2008;16/12/2009;;http://carto.air-rhonealpes.fr/photos/photo_85.jpg;Urbain-Fond
86;Lyon 8ème;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;20067;24 Rue Stéphane Coignet  69008 LYON;175;845822;6516027;19/12/2009;19/12/2009;07/11/2014;;http://carto.air-rhonealpes.fr/photos/photo_86.jpg;Urbain-Fond
87;Villefranche Périurbain;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;20068;604 rue de la Jacobée  1600 TREVOUX;180;839155;6538982;28/09/2010;28/09/2010;19/12/2013;;http://carto.air-rhonealpes.fr/photos/photo_87.jpg;Périurbain-Fond
88;Lyon Bossuet;FIXE;urbaine;spécifique                                                                                                                                                                                                                                                     ;20100;D . E . U 35 rue Bossuet 69006 LYON;167;843759;6520383;10/12/1993;10/12/1993;02/09/2004;;http://carto.air-rhonealpes.fr/photos/photo_88.jpg;Urbain-Spécifique
89;Coteaux du lyonnais;FIXE;rurale régionale;fond                                                                                                                                                                                                                                                           ;20204;D113  69510 YZERON;805;824353;6515024;26/06/2005;26/06/2005;12/10/2012;Surveillance de l'ozone estival en milieu rural.;http://carto.air-rhonealpes.fr/photos/photo_89.jpg;Rural-Fond
90;Salaise sur Sanne;FIXE;observation spécifique;spécifique                                                                                                                                                                                                                                                     ;27001;Les Cités - Groupe Scolaire Joliot-Curie  38150 SALAISE-SUR-SANNE;151;841219;6474507;08/12/1992;08/12/1992;05/06/2005;Site assez proche des usines et voies de circulation mais pas sous le vent. Installé en raison de la densité de population et de la fréquentation (écoles). Similitude des résultats assez nette avec Roussillon. Au bord du terrain de rugby.;http://carto.air-rhonealpes.fr/photos/photo_90.jpg;Périurbain-Spécifique
91;Roussillon;FIXE+ETUDE;urbaine;fond                                                                                                                                                                                                                                                           ;27002;Lycée de l'Edit 24 Avenue du Lycée 38150 ROUSSILLON;157;841298;6475884;03/12/1992;03/12/1992;;Site à  vocation de surveillance de la pollution de fond. Au fond de l'enceinte du lycée au bord de la rue.  Influence des industries et voies de circulation assez proches (~ 300 mètres).;http://carto.air-rhonealpes.fr/photos/photo_91.jpg;Urbain-Fond
92;Les Roches de Condrieu ZI;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;27003;"Stade des roches ""SIGIS"" Rue de Champagnole 38370 LES ROCHES-DE-CONDRIEU";146;838087;6485455;04/12/1992;04/12/1992;;Station située contre le gymnase du SIGIS sous le vent de sud des établissements industriels Rhodia et Zeneca.  Le centre village est tout proche à  environ 300 mètres à  l'est.;http://carto.air-rhonealpes.fr/photos/photo_92.jpg;Périurbain-Industrielle
93;Vienne Centre;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;27004;Place de l'Hôtel de Ville  Francois Mitterrand  38200 VIENNE;160;846380;6493577;08/08/2003;08/08/2003;27/12/2016;Station urbaine du nord de la vallée du Rhône dans une zone de transit.;http://carto.air-rhonealpes.fr/photos/photo_93.jpg;Urbain-Fond
94;Sud roussillonnais / Sablons;FIXE+ETUDE;périurbaine;fond                                                                                                                                                                                                                                                           ;27005;Place du champ de Foire Le Bourg Rue du Dauphiné 38550 SABLONS;136;838715;6470719;04/09/2003;04/09/2003;;Station périurbaine sous influence potentielle d'une zone industrielle.;http://carto.air-rhonealpes.fr/photos/photo_94.jpg;Périurbain-Fond
95;Plaine de Bièvre;FIXE+ETUDE;rurale régionale;fond                                                                                                                                                                                                                                                           ;27006;Base de loisirs des Eydoches  38260 FARAMANS;360;870082;6479946;10/06/2004;20/03/2012;31/12/2013;Site rural installé chaque année pendant la saison estivale (surveillance de l'ozone).;http://carto.air-rhonealpes.fr/photos/photo_95.jpg;Rural-Fond
96;Bourgoin Jallieu;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;27007;I.F.P.A.C. - Champfleuri  38300 BOURGOIN-JALLIEU;227;876976;6503518;15/07/2004;16/07/2004;;Site urbain entre Lyon et Grenoble.;http://carto.air-rhonealpes.fr/photos/photo_96.jpg;Urbain-Fond
97;A7 Nord-Isere;FIXE+ETUDE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;27008;Proximité A7  38150 SALAISE-SUR-SANNE;153;841312;6474268;08/09/2005;08/09/2005;;Station trafic en bordure de l'autoroute A7 dans la vallée du Rhône quelques kilomêtres au nord du péage de Chanas.;http://carto.air-rhonealpes.fr/photos/photo_97.jpg;Périurbain-Trafic
